Index,Order ID,Cust ID,Gender,Age,Age Group,Date,Month,Status,Channel ,SKU,Category,Size,Qty,Currency,Amount,Ship-City,Ship-State,Ship-Postal-Code,Ship-Country
18,407-3422488-7373923,3422488,Women,23,Senior,2022-12-04,December,Refunded,Amazon,VOLS744-TU-S,Sweatshirt,XS,1,INR,563.00,SIROHI,RAJASTHAN,307001,IN
19,171-8974687-6745940,8974687,Men,24,Senior,2022-12-04,December,Refunded,Amazon,VOLS2-SKD-M,Activwear,XXL,1,INR,473.00,MUMBAI,MAHARASHTRA,400097,IN
20,406-0244536-2177175,244536,Women,21,Senior,2022-12-04,December,Refunded,Amazon,VOLS798-KR-XXXL,Sweatshirt,M,1,INR,545.00,AMRITSAR,PUNJAB,143001,IN
21,404-4376789-3345166,4376789,Women,33,Senior,2022-12-04,December,Refunded,Amazon,VOLS291-KR-L,Sweatshirt,3XL,1,INR,699.00,LUCKNOW,UTTAR PRADESH,226024,IN
22,408-1943310-9789160,1943310,Men,31,Senior,2022-12-04,December,Refunded,Amazon,VOLS7-SKD-XXXL,Activwear,XXL,1,INR,743.00,NEW DELHI,DELHI,110087,IN
23,403-0950590-5005155,950590,Men,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS57-KR-NP-XL,Sweatshirt,3XL,1,INR,575.00,MADURAI,TAMIL NADU,625014,IN
24,406-3935670-5720350,3935670,Men,19,Junior,2022-12-04,December,Delivered,Amazon,VOLS838-KR-XXL,Sweatshirt,XS,1,INR,788.00,Meerut,UTTAR PRADESH,250002,IN
25,402-0398999-0011565,398999,Women,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS801-KR-S,Sweatshirt,M,1,INR,612.00,HYDERABAD,TELANGANA,500060,IN
26,403-5438780-7231546,5438780,Women,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS721-KR-L,T-Shirt,XXL,1,INR,533.00,INDORE,MADHYA PRADESH,452014,IN
27,406-8343960-8137102,8343960,Women,22,Senior,2022-12-04,December,Delivered,Flipkart,VOLS48-KR-NP-XS,Topwear,XL,1,INR,484.00,DAVANAGERE,KARNATAKA,577004,IN
28,406-0986513-0498758,986513,Men,20,Junior,2022-12-04,December,Delivered,Flipkart,VOLS24-KR-NP-M,Sweatshirt,3XL,1,INR,563.00,RUDRAPUR,UTTARAKHAND,263153,IN
29,406-0947452-6044339,947452,Men,37,Senior,2022-12-04,December,Delivered,Flipkart,VOLS153-KR-278-A-XXXL,Activwear,XXL,1,INR,735.00,CHENNAI,TAMIL NADU,600103,IN
30,406-1326018-3426760,1326018,Men,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS431-KR-XL,Sweatshirt,XS,1,INR,759.00,PRAYAGRAJ,UTTAR PRADESH,230304,IN
31,406-9281717-2212317,9281717,Men,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS834-KR-L,Activwear,XXL,1,INR,715.00,GREAT NICOBAR,ANDAMAN & NICOBAR ,744302,IN
32,408-6866119-6793128,6866119,Men,27,Senior,2022-12-04,December,Delivered,Amazon,VOLS05,Activwear,XXL,1,INR,885.00,AHMEDABAD,GUJARAT,380058,IN
33,403-9400852-1350710,9400852,Women,28,Senior,2022-12-04,December,Delivered,Amazon,VOLS875-KR-XL,T-Shirt,M,1,INR,301.00,SALEM,TAMIL NADU,636007,IN
34,408-2606836-0473931,2606836,Men,29,Senior,2022-12-04,December,Delivered,Flipkart,VOLS5-TP-S,Sweatshirt,XL,1,INR,699.00,GUWAHATI,ASSAM,781020,IN
35,405-8481179-1130753,8481179,Men,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS797-KR-XXL,Sweatshirt,S,1,INR,856.00,CHENNAI,TAMIL NADU,600119,IN
36,406-9686095-5057139,9686095,Women,33,Senior,2022-12-04,December,Delivered,Flipkart,VOLS865-TP-XXL,Sweatshirt,L,1,INR,650.00,VADODARA,GUJARAT,390021,IN
37,404-9033015-7527503,9033015,Women,31,Senior,2022-12-04,December,Delivered,Amazon,VOLS0-SKD-L,T-Shirt,XL,1,INR,449.00,Payyannur,KERALA,670309,IN
38,402-6932218-7744338,6932218,Women,31,Senior,2022-12-04,December,Delivered,Flipkart,VOLS92-KR-NP-L,Sweatshirt,XS,1,INR,699.00,CHANDIGARH,CHANDIGARH,160036,IN
39,408-8796291-5026713,8796291,Women,25,Senior,2022-12-04,December,Delivered,Amazon,VOLS9-SET-L,T-Shirt,XL,1,INR,299.00,GURUGRAM,HARYANA,122001,IN
40,407-9654105-3225150,9654105,Women,32,Senior,2022-12-04,December,Delivered,Flipkart,VOLS9-SKD-XS,Sweatshirt,M,1,INR,699.00,MOHALI,PUNJAB,160062,IN
41,402-0637532-2672317,637532,Men,29,Senior,2022-12-04,December,Delivered,Flipkart,VOLS05-KR-NP-XS,Activwear,L,1,INR,599.00,BENGALURU,KARNATAKA,560061,IN
42,402-0637532-2672317,637532,Women,29,Senior,2022-12-04,December,Delivered,Amazon,VOLS31-KR-NP-XXL,Topwear,S,1,INR,545.00,PUNE,MAHARASHTRA,411051,IN
43,404-3393819-5081930,3393819,Women,34,Senior,2022-12-04,December,Delivered,Flipkart,VOLS8-SKD-M,Sweatshirt,XS,1,INR,699.00,PUNE,MAHARASHTRA,412207,IN
44,406-5673590-1054739,5673590,Women,22,Senior,2022-12-04,December,Delivered,VS Website,VOLS36-KR-PP-L,Sweatshirt,XL,1,INR,648.00,SONIPAT,HARYANA,131001,IN
45,403-5846829-5098742,5846829,Women,24,Senior,2022-12-04,December,Delivered,Flipkart,VOLS546-KR-XL,Sweatshirt,S,1,INR,699.00,NELLORE,ANDHRA PRADESH,524002,IN
46,171-4087298-3807569,4087298,Women,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS04,Sweatshirt,XXL,1,INR,563.00,TIRUCHIRAPPALLI,TAMIL NADU,620101,IN
47,408-7694743-7590732,7694743,Women,21,Senior,2022-12-04,December,Delivered,Flipkart,VOLS6-DR-S,Sweatshirt,S,1,INR,833.00,BENGALURU,KARNATAKA,562107,IN
48,406-8068610-1108329,8068610,Women,23,Senior,2022-12-04,December,Delivered,Amazon,VOLS567-KR-XXL,T-Shirt,S,1,INR,487.00,PUNE,MAHARASHTRA,411014,IN
49,171-7917674-9759550,7917674,Women,25,Senior,2022-12-04,December,Delivered,Amazon,VOLS567-KR-XXXL,T-Shirt,M,1,INR,292.00,VARANASI,UTTAR PRADESH,221010,IN
50,406-2709798-4585159,2709798,Men,25,Senior,2022-12-04,December,Delivered,VS Website,VOLS738-KR-XXL,Sweatshirt,M,1,INR,558.00,UDUPI,KARNATAKA,574118,IN
51,405-4213846-6141157,4213846,Women,27,Senior,2022-12-04,December,Delivered,Amazon,VOLS44-KR-NP-L,Sweatshirt,M,1,INR,664.00,HYDERABAD,TELANGANA,500039,IN
52,407-7381557-9088310,7381557,Women,21,Senior,2022-12-04,December,Delivered,VS Website,VOLS4-SKD-XXXL,Sweatshirt,M,1,INR,699.00,Allahabad,UTTAR PRADESH,211001,IN
53,403-0817885-3061963,817885,Women,33,Senior,2022-12-04,December,Delivered,Amazon,VOLS31-KR-NP-XS,Topwear,S,1,INR,540.00,SOUTH DELHI,DELHI,110017,IN
54,171-2439278-5433152,2439278,Men,29,Senior,2022-12-04,December,Delivered,Flipkart,VOLS10-KR-PP-S,Sweatshirt,XS,1,INR,698.00,KHALILABAD,UTTAR PRADESH,272175,IN
55,405-8874360-4913961,8874360,Men,23,Senior,2022-12-04,December,Delivered,VS Website,VOLS5-SET-M,Sweatshirt,XXL,1,INR,699.00,NEW DELHI,DELHI,110016,IN
56,408-4675134-5301129,4675134,Women,33,Senior,2022-12-04,December,Delivered,Amazon,VOLS806-KR-S,Sweatshirt,XXL,1,INR,507.00,HYDERABAD,TELANGANA,500008,IN
57,402-9907523-6175562,9907523,Men,27,Senior,2022-12-04,December,Delivered,Amazon,VOLS20-KR-PP-XL,Sweatshirt,XS,1,INR,699.00,SULTANPUR,UTTAR PRADESH,228001,IN
58,402-9907523-6175562,9907523,Women,28,Senior,2022-12-04,December,Delivered,Amazon,VOLS014-KR-178-L,Topwear,Free,1,INR,737.00,MURWARA KATNI,MADHYA PRADESH,483501,IN
59,407-7643005-7856329,7643005,Men,35,Senior,2022-12-04,December,Delivered,Flipkart,VOLS658-TP-M,Sweatshirt,3XL,1,INR,699.00,MUMBAI,MAHARASHTRA,400063,IN
60,407-0381223-7065145,381223,Men,22,Senior,2022-12-04,December,Delivered,Amazon,VOLS795-KR-S,Sweatshirt,XL,1,INR,633.00,CHENNAI,TAMIL NADU,600066,IN
61,407-8538186-6616316,8538186,Women,22,Senior,2022-12-04,December,Delivered,Amazon,VOLS94-KR-NP-XXL,Sweatshirt,M,1,INR,899.00,MAHENDRAGARH,HARYANA,123029,IN
62,403-1785530-0119510,1785530,Women,32,Senior,2022-12-04,December,Delivered,Amazon,VOLS0-SET-XXXL,T-Shirt,6XL,1,INR,764.00,BENGALURU,KARNATAKA,560103,IN
63,403-0824767-1871567,824767,Women,24,Senior,2022-12-04,December,Delivered,VS Website,VOLS525-KR-UDF19BLACK-XXL,T-Shirt,3XL,1,INR,688.00,CHENNAI,TAMIL NADU,600061,IN
64,404-8169153-4411563,8169153,Women,20,Junior,2022-12-04,December,Delivered,Amazon,VOLS97-KR-NP  -M,T-Shirt,L,1,INR,299.00,Bangalore,KARNATAKA,560054,IN
65,406-5169174-3536336,5169174,Women,34,Senior,2022-12-04,December,Cancelled,Flipkart,VOLS0-SKD-M,T-Shirt,XL,1,INR,299.00,KALYAN,MAHARASHTRA,421306,IN
66,402-2130722-4734768,2130722,Women,24,Senior,2022-12-04,December,Delivered,Amazon,VOLS4-SKD-XXL,Topwear,S,1,INR,563.00,AHMEDABAD,GUJARAT,382470,IN
67,404-8299604-8880365,8299604,Women,31,Senior,2022-12-04,December,Delivered,Amazon,VOLS423-KR-XXL,T-Shirt,XL,1,INR,363.00,KOLKATA,WEST BENGAL,700028,IN
68,403-8213196-3804353,8213196,Men,35,Senior,2022-12-04,December,Delivered,Flipkart,VOLS8-DR-L,Sweatshirt,S,1,INR,667.00,BOKARO STEEL CITY,JHARKHAND,827001,IN
69,408-3286680-0659521,3286680,Women,21,Senior,2022-12-04,December,Delivered,Flipkart,VOLS31-KR-NP-XXXL,Topwear,Free,1,INR,685.00,Panchkula,HARYANA,134116,IN
70,403-6014983-8111514,6014983,Men,23,Senior,2022-12-04,December,Delivered,Flipkart,VOLS797-KR-S,Sweatshirt,S,1,INR,852.00,PUNE,MAHARASHTRA,411021,IN
71,403-6950860-5590722,6950860,Women,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS20-KR-PP-XL,Topwear,Free,1,INR,699.00,PATNA,BIHAR,801113,IN
72,406-7030051-2742704,7030051,Women,24,Senior,2022-12-04,December,Delivered,Amazon,VOLS32-KR-PP-L,T-Shirt,XXL,1,INR,563.00,NEW DELHI,DELHI,110084,IN
73,404-6041386-2803516,6041386,Men,23,Senior,2022-12-04,December,Delivered,Flipkart,VOLS8-TP-XL,Sweatshirt,XXL,1,INR,699.00,KALYAN,MAHARASHTRA,421201,IN
74,404-7958450-6860328,7958450,Men,32,Senior,2022-12-04,December,Delivered,Amazon,VOLS28,Sweatshirt,XS,1,INR,702.00,Bengaluru,KARNATAKA,560095,IN
75,408-7814128-2203552,7814128,Women,26,Senior,2022-12-04,December,Delivered,VS Website,VOLS8-SKD-M,Topwear,Free,1,INR,476.00,NAVI MUMBAI,MAHARASHTRA,400705,IN
76,403-9793483-6877106,9793483,Men,20,Junior,2022-12-04,December,Delivered,Flipkart,VOLS24-KR-NP-XS,Sweatshirt,XL,1,INR,597.00,BENGALURU,KARNATAKA,560021,IN
77,402-5297818-3665137,5297818,Women,24,Senior,2022-12-04,December,Delivered,Flipkart,VOLS3-SET-XL,Sweatshirt,XL,1,INR,699.00,VARKALA,KERALA,695141,IN
78,171-2070545-3786767,2070545,Women,21,Senior,2022-12-04,December,Delivered,Flipkart,VOLS74-KR-NP-L,Sweatshirt,XS,1,INR,801.00,BIKANER,RAJASTHAN,334001,IN
79,406-1756314-4546723,1756314,Men,29,Senior,2022-12-04,December,Delivered,Flipkart,VOLS1-DR-L,T-Shirt,XL,1,INR,481.00,GURUGRAM,HARYANA,122001,IN
80,404-8786932-9447520,8786932,Men,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS265-KR-501-XXL,Sweatshirt,M,1,INR,595.00,BHARUCH,GUJARAT,392001,IN
81,408-8573929-1921943,8573929,Men,30,Senior,2022-12-04,December,Delivered,Flipkart,VOLS19,T-Shirt,XXL,1,INR,458.00,MUMBAI,MAHARASHTRA,400097,IN
82,408-8573929-1921943,8573929,Men,21,Senior,2022-12-04,December,Delivered,Amazon,VOLS689-TU-S,T-Shirt,M,1,INR,729.00,kolkata,WEST BENGAL,700082,IN
83,407-8980704-1408352,8980704,Men,34,Senior,2022-12-04,December,Cancelled,Flipkart,VOLS581-KR-XL,T-Shirt,M,1,INR,345.00,NOIDA,UTTAR PRADESH,201304,IN
84,171-2516658-6849136,2516658,Men,30,Senior,2022-12-04,December,Delivered,Flipkart,VOLS797-KR-A-M,T-Shirt,M,1,INR,481.00,CHENNAI,TAMIL NADU,600077,IN
85,404-0105497-2446747,105497,Men,26,Senior,2022-12-04,December,Refunded,Amazon,VOLS85-KR-NP-XL,T-Shirt,S,1,INR,382.00,BHANDARA,MAHARASHTRA,441701,IN
86,406-6468339-1490707,6468339,Men,19,Junior,2022-12-04,December,Delivered,Amazon,VOLS31-KR-NP-XL,Sweatshirt,XS,1,INR,699.00,MUMBAI,MAHARASHTRA,400093,IN
87,402-6702100-7257107,6702100,Men,24,Senior,2022-12-04,December,Returned,Flipkart,VOLS002-KR-M,T-Shirt,S,1,INR,322.00,NEW DELHI,DELHI,110084,IN
88,404-6243782-8199521,6243782,Men,23,Senior,2022-12-04,December,Delivered,Amazon,VOLS670-TU-XL,T-Shirt,L,1,INR,449.00,BHATKAL,KARNATAKA,581320,IN
89,403-3641651-0348348,3641651,Men,22,Senior,2022-12-04,December,Delivered,Amazon,VOLS9-DR-XL,Sweatshirt,L,1,INR,573.00,MUMBAI,MAHARASHTRA,400098,IN
90,402-7662369-2719545,7662369,Men,18,Junior,2022-12-04,December,Delivered,Amazon,VOLS61-KR-PP-S,Sweatshirt,S,1,INR,699.00,RANCHI,JHARKHAND,834008,IN
91,403-8575376-3341124,8575376,Men,32,Senior,2022-12-04,December,Delivered,Flipkart,VOLS24-KR-NP-XXL,Sweatshirt,L,1,INR,737.00,HYDERABAD,TELANGANA,500020,IN
92,403-7384618-1017125,7384618,Men,23,Senior,2022-12-04,December,Delivered,Flipkart,VOLS797-KR-L,Sweatshirt,L,1,INR,429.00,CHENNAI,TAMIL NADU,600051,IN
93,403-7384618-1017125,7384618,Men,24,Senior,2022-12-04,December,Returned,Amazon,VOLS797-KR-M,T-Shirt,XL,1,INR,471.00,VISAKHAPATNAM,ANDHRA PRADESH,530003,IN
94,403-3542194-2527546,3542194,Men,20,Junior,2022-12-04,December,Returned,Amazon,VOLS817-KR-XS,Topwear,Free,1,INR,307.00,Perambra,KERALA,673524,IN
95,405-6859790-7125127,6859790,Men,23,Senior,2022-12-04,December,Returned,Amazon,VOLS510-KR-M,T-Shirt,M,1,INR,631.00,GURUGRAM,HARYANA,122002,IN
96,403-0347306-1283554,347306,Women,26,Senior,2022-12-04,December,Returned,Amazon,VOLS291-KR-M,T-Shirt,M,1,INR,517.00,HYDERABAD,TELANGANA,500090,IN
97,406-7048232-6973930,7048232,Women,20,Junior,2022-12-04,December,Returned,Flipkart,VOLS3-SET-L,T-Shirt,S,1,INR,427.00,HAMIRPUR,HIMACHAL PRADESH,177005,IN
98,404-5516090-4385135,5516090,Men,22,Senior,2022-12-04,December,Returned,Amazon,VOLS522-KR-XL,Activwear,S,1,INR,855.00,Nayagarh,ODISHA,752069,IN
99,403-0294848-6612317,294848,Women,19,Junior,2022-12-04,December,Returned,Flipkart,VOLS567-KR-XL,T-Shirt,XXL,1,INR,376.00,BENGALURU,KARNATAKA,560075,IN
100,408-6522716-9753142,6522716,Men,23,Senior,2022-12-04,December,Returned,Amazon,VOLS797-KR-XS,T-Shirt,L,1,INR,487.00,BENGALURU,KARNATAKA,562125,IN
101,408-6522716-9753142,6522716,Men,26,Senior,2022-12-04,December,Returned,Amazon,VOLS64-KR-NP-S,Sweatshirt,M,1,INR,852.00,NEW DELHI,DELHI,110034,IN
102,408-3094141-6564325,3094141,Men,30,Senior,2022-12-04,December,Delivered,Amazon,VOLS482-KR-S,T-Shirt,XXL,1,INR,771.00,TIRUCHIRAPPALLI,TAMIL NADU,620017,IN
103,405-8966819-1579535,8966819,Men,28,Senior,2022-12-04,December,Delivered,Flipkart,VOLS12,T-Shirt,M,1,INR,487.00,PUDUVAYAL,TAMIL NADU,630108,IN
104,404-2716293-0209115,2716293,Men,21,Senior,2022-12-04,December,Delivered,Amazon,VOLS560-KR-S,T-Shirt,XL,1,INR,472.00,HYDERABAD,TELANGANA,500045,IN
105,403-9848998-6793100,9848998,Men,28,Senior,2022-12-04,December,Delivered,Amazon,VOLS0-TP-M,Topwear,Free,1,INR,790.00,UDAIPUR,RAJASTHAN,313001,IN
106,171-6592212-4665122,6592212,Men,25,Senior,2022-12-04,December,Delivered,Amazon,VOLS6-M,T-Shirt,XS,1,INR,517.00,PUDUCHERRY,PUDUCHERRY,605004,IN
107,404-5467416-2849910,5467416,Women,25,Senior,2022-12-04,December,Delivered,Flipkart,VOLS893-TP-XXXL,Sweatshirt,3XL,1,INR,646.00,GREATER NOIDA,UTTAR PRADESH,201310,IN
108,408-1265802-4542716,1265802,Women,23,Senior,2022-12-04,December,Delivered,Amazon,VOLS440-KR-N-M,Activwear,XL,1,INR,743.00,SECUNDERABAD,TELANGANA,500011,IN
109,171-9585512-1214755,9585512,Women,21,Senior,2022-12-04,December,Delivered,Flipkart,VOLS795-KR-S,T-Shirt,XXL,1,INR,299.00,new delhi,DELHI,110063,IN
110,405-6513430-0509918,6513430,Women,30,Senior,2022-12-04,December,Delivered,Flipkart,VOLS2-TP-XL,Sweatshirt,M,1,INR,852.00,GREATER NOIDA,UTTAR PRADESH,201306,IN
111,406-7694216-8034754,7694216,Men,32,Senior,2022-12-04,December,Delivered,Flipkart,VOLS2199-KR-N-5XL,Sweatshirt,M,1,INR,759.00,MYSURU,KARNATAKA,570034,IN
112,408-5911668-5550717,5911668,Women,31,Senior,2022-12-04,December,Refunded,VS Website,VOLS45-KR-NP-S,Topwear,XL,1,INR,493.00,NEW DELHI,DELHI,110059,IN
113,404-5364170-6523532,5364170,Women,29,Senior,2022-12-04,December,Refunded,Amazon,VOLS6-SKD-L,T-Shirt,XXL,1,INR,458.00,JAIPUR,RAJASTHAN,303002,IN
114,405-3614770-5449966,3614770,Women,27,Senior,2022-12-04,December,Refunded,Amazon,VOLS44-KR-NP-L,T-Shirt,M,1,INR,435.00,BIDAR,KARNATAKA,585401,IN
115,404-1246579-1197122,1246579,Women,23,Senior,2022-12-04,December,Refunded,Amazon,VOLS19-KR-NP-S,Sweatshirt,XS,1,INR,759.00,BABUGARH,UTTAR PRADESH,245201,IN
116,406-6695683-9996343,6695683,Men,30,Senior,2022-12-04,December,Cancelled,Amazon,VOLS3-SET-S,Sweatshirt,L,1,INR,699.00,THANE,MAHARASHTRA,400606,IN
117,404-1994186-3865941,1994186,Men,31,Senior,2022-12-04,December,Refunded,Flipkart,VOLS0-KR-XXL,Sweatshirt,M,1,INR,698.00,UDAIPUR,RAJASTHAN,313001,IN
118,404-0172471-1609129,172471,Women,31,Senior,2022-12-04,December,Refunded,Flipkart,VOLS405-KR-XXXL,Topwear,S,1,INR,518.00,DOHAD,GUJARAT,389151,IN
119,406-0681598-4591519,681598,Men,28,Senior,2022-12-04,December,Refunded,Amazon,VOLS98-KR-PP-S,Activwear,XXL,1,INR,625.00,Barasat,WEST BENGAL,700124,IN
120,407-1388772-0703516,1388772,Women,19,Junior,2022-12-04,December,Refunded,Flipkart,VOLS1-TP-L,T-Shirt,3XL,1,INR,499.00,INDORE,MADHYA PRADESH,452001,IN
121,408-3131740-5067529,3131740,Women,25,Senior,2022-12-04,December,Refunded,Amazon,VOLS4-DR-XL,Topwear,XS,1,INR,321.00,MUMBAI,MAHARASHTRA,400053,IN
122,402-5496750-0331528,5496750,Women,32,Senior,2022-12-04,December,Refunded,Amazon,VOLS797-KR-XXL,Sweatshirt,XS,1,INR,845.00,NAGAUR,RAJASTHAN,341305,IN
123,402-5496750-0331528,5496750,Women,33,Senior,2022-12-04,December,Refunded,Amazon,VOLS8-SKD-S,T-Shirt,XS,1,INR,358.00,NEW DELHI,DELHI,110085,IN
124,403-0816846-6852364,816846,Women,25,Senior,2022-12-04,December,Refunded,Flipkart,VOLS865-TP-XL,T-Shirt,XL,1,INR,307.00,Coimbatore,TAMIL NADU,641031,IN
125,408-0278400-0572330,278400,Women,31,Senior,2022-12-04,December,Refunded,Amazon,VOLS437-KR-M,T-Shirt,6XL,1,INR,692.00,NAVI MUMBAI,MAHARASHTRA,400701,IN
126,403-8079606-6799503,8079606,Men,23,Senior,2022-12-04,December,Refunded,Amazon,VOLS2-TP-XS,Sweatshirt,XS,1,INR,699.00,NEW DELHI,DELHI,110003,IN
127,171-4636514-5082740,4636514,Women,31,Senior,2022-12-04,December,Delivered,Amazon,VOLS500-KR-M,Sweatshirt,M,1,INR,699.00,BARASAT,WEST BENGAL,700124,IN
128,406-9847734-4402766,9847734,Women,34,Senior,2022-12-04,December,Delivered,Flipkart,VOLS68-KR-NP-XS,T-Shirt,XS,1,INR,301.00,COIMBATORE,TAMIL NADU,641027,IN
129,403-8860022-0290733,8860022,Women,26,Senior,2022-12-04,December,Delivered,Amazon,VOLS98-KR-PP-M,Topwear,L,1,INR,625.00,RANCHI,JHARKHAND,834002,IN
130,408-1669205-3638714,1669205,Women,25,Senior,2022-12-04,December,Delivered,Amazon,VOLS766-KR-XS,T-Shirt,M,1,INR,435.00,SANGAREDDY,TELANGANA,502001,IN
131,406-6737238-2993139,6737238,Women,24,Senior,2022-12-04,December,Delivered,Amazon,VOLS797-KR-L,T-Shirt,3XL,1,INR,307.00,PUNE,MAHARASHTRA,411041,IN
132,402-9605076-2885164,9605076,Men,34,Senior,2022-12-04,December,Delivered,Amazon,VOLS818-KR-M,Sweatshirt,L,1,INR,788.00,Buxar,BIHAR,802133,IN
133,406-9542566-5579564,9542566,Women,21,Senior,2022-12-04,December,Delivered,Amazon,VOLS58-KR-NP-XL,Sweatshirt,M,1,INR,699.00,KANJIKODE INDUSTRIAL AREA,KERALA,678623,IN
134,408-1540604-8952365,1540604,Women,31,Senior,2022-12-04,December,Delivered,Amazon,VOLS0-SKD-XL,T-Shirt,XS,1,INR,852.00,HYDERABAD,TELANGANA,508126,IN
135,405-9367631-7902714,9367631,Women,24,Senior,2022-12-04,December,Delivered,Amazon,VOLS721-KR-XS,Sweatshirt,M,1,INR,699.00,ALLAHABAD,UTTAR PRADESH,211002,IN
136,403-0595996-9383507,595996,Men,32,Senior,2022-12-04,December,Delivered,Amazon,VOLS0-DR-M,Sweatshirt,M,1,INR,699.00,DIU,DADRA AND NAGAR,362520,IN
137,407-8256896-7645127,8256896,Men,22,Senior,2022-12-04,December,Delivered,Amazon,VOLS672-TU-XXL,Sweatshirt,S,1,INR,845.00,PATNA,BIHAR,801505,IN
138,407-1064158-5677135,1064158,Men,25,Senior,2022-12-04,December,Delivered,Amazon,VOLS2-SKD-XL,Sweatshirt,S,1,INR,664.00,Yacharam,TELANGANA,501509,IN
139,407-2727693-8699567,2727693,Women,31,Senior,2022-12-04,December,Delivered,Flipkart,VOLS549-KR-XXL,Sweatshirt,M,1,INR,699.00,Kannur,KERALA,670304,IN
140,171-6844452-3288337,6844452,Men,24,Senior,2022-12-04,December,Returned,VS Website,VOLS8-SET-XXXL,Sweatshirt,XXL,1,INR,699.00,Port blair,ANDAMAN & NICOBAR ,744103,IN
141,171-6908439-1987505,6908439,Women,21,Senior,2022-12-04,December,Refunded,Amazon,VOLS31-KR-NP-L,T-Shirt,XXL,1,INR,299.00,MUZAFFARNAGAR,UTTAR PRADESH,251001,IN
